This is HeaderINFO  2012-07-04 11:01:23,995 21219ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-04 11:01:26,214 23437ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-07-04 11:01:26,355 23578ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-07-04 11:01:41,371 38594ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-04 11:01:41,371 38594ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-04 11:01:41,371 38594ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-07-04 11:01:41,371 38594ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-07-04 11:01:41,371 38594ms MainViewModel          SetLesson          - || == Current Item : 1/93
DEBUG 2012-07-04 11:01:41,793 39016ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-04 11:01:41,793 39016ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-04 11:01:44,199 41422ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-04 11:01:45,418 42641ms MainViewModel          ListenExecute      - ||{*} === Listen Command Executed === 
DEBUG 2012-07-04 11:01:45,465 42688ms MainViewModel          ListenExecute      - || == Listen with google translate : glimpse
INFO  2012-07-04 11:01:49,668 46891ms MainViewModel          ListenExecute      - ||{*} === Listen Command Executed === 
DEBUG 2012-07-04 11:01:49,668 46891ms MainViewModel          ListenExecute      - || == Listen with google translate : glimpse
INFO  2012-07-04 11:01:54,715 51938ms MainViewModel          ListenExecute      - ||{*} === Listen Command Executed === 
DEBUG 2012-07-04 11:01:54,715 51938ms MainViewModel          ListenExecute      - || == Listen with google translate : glimpse
INFO  2012-07-04 11:01:59,371 56594ms MainViewModel          ListenExecute      - ||{*} === Listen Command Executed === 
DEBUG 2012-07-04 11:01:59,371 56594ms MainViewModel          ListenExecute      - || == Listen with google translate : glimpse
INFO  2012-07-04 11:02:01,356 58579ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-04 11:02:03,356 60579ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-04 11:02:03,356 60579ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-04 11:02:03,356 60579ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :21
DEBUG 2012-07-04 11:02:03,356 60579ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-04 11:02:03,356 60579ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

This is HeaderINFO  2012-07-04 11:02:45,247 24797ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-04 11:02:47,841 27391ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-07-04 11:02:47,966 27516ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-07-04 11:03:02,982 42532ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-04 11:03:02,982 42532ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-04 11:03:02,982 42532ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-07-04 11:03:02,982 42532ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-07-04 11:03:02,982 42532ms MainViewModel          SetLesson          - || == Current Item : 1/93
DEBUG 2012-07-04 11:03:03,325 42875ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-04 11:03:03,325 42875ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-04 11:03:04,701 44250ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-04 11:03:05,185 44735ms MainViewModel          ListenExecute      - ||{*} === Listen Command Executed === 
DEBUG 2012-07-04 11:03:05,232 44782ms MainViewModel          ListenExecute      - || == Listen with google translate : productive
INFO  2012-07-04 11:03:08,513 48063ms MainViewModel          ListenExecute      - ||{*} === Listen Command Executed === 
DEBUG 2012-07-04 11:03:08,513 48063ms MainViewModel          ListenExecute      - || == Listen with google translate : productive
INFO  2012-07-04 11:03:10,513 50063ms MainViewModel          ListenExecute      - ||{*} === Listen Command Executed === 
DEBUG 2012-07-04 11:03:10,513 50063ms MainViewModel          ListenExecute      - || == Listen with google translate : productive
INFO  2012-07-04 11:03:12,544 52094ms MainViewModel          ListenExecute      - ||{*} === Listen Command Executed === 
DEBUG 2012-07-04 11:03:12,544 52094ms MainViewModel          ListenExecute      - || == Listen with google translate : productive
INFO  2012-07-04 11:03:13,654 53204ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-04 11:03:15,654 55204ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-04 11:03:15,654 55204ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-04 11:03:15,654 55204ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :12
DEBUG 2012-07-04 11:03:15,654 55204ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-04 11:03:15,654 55204ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

This is HeaderINFO  2012-07-04 11:44:36,203 36171ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-04 11:44:49,187 49156ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-07-04 11:44:52,422 52390ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-07-04 11:45:17,422 77390ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-04 11:45:17,422 77390ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-04 11:45:17,422 77390ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-04 11:45:17,422 77390ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-04 11:45:17,437 77406ms MainViewModel          SetLesson          - || == Current Item : 1/93
DEBUG 2012-07-04 11:45:17,766 77734ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-04 11:45:17,766 77734ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-04 11:45:32,766 92734ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-04 11:45:32,766 92734ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-04 11:45:32,766 92734ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :15
DEBUG 2012-07-04 11:45:32,766 92734ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-04 11:45:32,766 92734ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-04 11:45:42,422 102390ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-04 11:45:42,422 102390ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-04 11:45:42,422 102390ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-04 11:45:42,422 102390ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-04 11:45:42,437 102406ms MainViewModel          SetLesson          - || == Current Item : 2/93
DEBUG 2012-07-04 11:45:42,516 102484ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-04 11:45:42,516 102484ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-04 11:45:57,516 117484ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-04 11:45:57,516 117484ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-04 11:45:57,516 117484ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-04 11:45:57,516 117484ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-04 11:45:57,516 117484ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-04 11:46:07,422 127390ms MainViewModel          _timer_Tick        - || =============Summary=============
